prompts,answers
"QUESTION1) 재학 중인 학생이 휴학을 하려면 학기 개시일로부터 며칠 이내에 휴학을 신청하야하나요?
(A) 30일
(B) 45일 
(C) 60일
(D) 90일",(D)
"QUESTION2) '재입학은 a회에 한하여 할 수 있다. 다만 제 28조제4호에 의하여 제적된 자는 제적된 날부터 b년이 경과한 후 재입학 할 수 있다.' a와 b가 상수일 때 a+b의 값을 구하면?
(A) 2
(B) 3
(C) 4
(D) A,B,C 중 답 없음",(A)
"QUESTION3) 학생이 소속 학과 또는 전공 이외의 전공 교과목을 총장이 정하는 바에 따라 몇학점 이상 취득한 때에 부전공을 이수한것으로 인정받을 수 있는가?
(A) 15학점
(B) 18학점
(C) 21학점
(D) 25학점",(C)
"QUESTION4) 다음 보기의 학생들 중 제적을 당하지 않는 사람을 고르면?
(A) 팜 : 징계에 의해 퇴학처분을 받았음 
(B) 엘모 : 성적이 평점평균 1.2 로 학사경고를 연속 3회 받았음
(C) 라마 : 수업료 기타 납입금을 소정 기일 내 납입하지 못하였음
(D) 로라 : 휴학기간 경과 후 3주가 지났으나 갑자기 큰 사고가 났다는 정당한 이유 때문에 복학하지 못하였음",(D)
"QUESTION5) 2019학년도 휴먼기계바이오공학부의 입학 정원은 몇 명인가? 
(A) 90명 
(B) 100명 
(C) 110명 
(D) 120명",(C)
"QUESTION6) 1980학년도 이전 입학생에 대하여 적용하는 등급에 따른 성적점으로 잘못 연결된 것은 무엇인가? 
(A) 등급: A+, 성적점: 4 
(B) 등급: A-: 성적점: 3.5 
(C) 등급: B+, 성적점: 3 
(D) 등급: C, 성적점: 2",(B)
"QUESTION7) 사회체육학과 소속 학생에게 수여하는 학위는 무엇인가? 
(A) 공학사 
(B) 문학사 
(C) 사회학사 
(D) 이학사 ",(D)
"QUESTION8) 복수전공 신청 자격에 해당하지 않는 것은? 
(A) 1학년을 마친 학생 
(B) 평균 평점이 2.50 이상인 학생 
(C) 졸업 직전 학기에 있는 학생 
(D) 재학생 신분인 경우",(C)
QUESTION9) 이화여자대학교의 설립 정신은 무엇인가요?  (A) 공산주의 이념  (B) 불교 정신  (C) 기독교 정신  (D) 자유주의 사상,(C)
QUESTION10) 이화여자대학교의 위치는 어디인가요?  (A) 강남구  (B) 서대문구  (C) 종로구  (D) 송파구,(B)
QUESTION11) 학점 기준에 따르면 1학점당 수업 시간은 몇 시간 이상이어야 하나요?  (A) 10시간  (B) 15시간  (C) 20시간  (D) 25시간,(B)
"QUESTION12) 전공과 관련된 조항으로 올바른 것은?
(A) 2 이상의 학부가 연계하여 제공하는 전공을 복수전공이라 한다.
(B) 학생이 소속한 제1전공과정에 기반하여 타학문과의 융복합 교육과정을 제공하는 전공을 융합전공이라 한다.
(C) 2 이상의 전공을 자기설계전공이라 한다.
(D) 학생이 교육과정을 구성하여 대학의 인정을 받은 전공을 연계전공이라 한다.",(B)
"QUESTION13) 등록금에 관한 조항으로 올바르지 않은 것은?
(A) 총장은 등록금심의위원회의 구성 및 운영에 관한 사항을 정한다.
(B) 등록기간 만료 전에 휴학원을 제출하여 허가를 얻은 자는 당해 휴학기간의 등록금이 면제된다.
(C) 등록금이 과오납된 경우에는 금액을 반환할 수 없다.
(D) 학생은 매학기 등록시 등록금을 납부하여야 한다.",(C)
"QUESTION14) 전공과목은 어떻게 구분되는가?
(A) 전공기초과목과 전공과목
(B) 총장이 따로 정한다
(C) 필수과목과 선택과목
(D) 구분하지 않는다",(C)
"QUESTION15) 학칙개정에 관한 설명으로 옳지 않은 것은?
(A) 학칙 개정과 대학평의원회는 무관하다.
(B) 학칙 개정이 이루어지기 전에, 사전공고를 거쳐야 한다.
(C) 학칙의 개정은 총장이 행한다.
(D) 학칙개정은 교무회의의 심의를 거친다.",(A)
"QUESTION16)계절학기에 취득할 수 있는 최대 학점은 몇 점입니까?
(A) 3학점
(B) 6학점
(C) 9학점
(D) 12학점",(B)
"QUESTION17)졸업하기 위해 총평균 성적이 충족해야 하는 최소 기준은?
(A) 1.60
(B) 1.70
(C) 2.00
(D) 2.50",(B)
"QUESTION18)수업의 결석이 출석으로 인정될 수 있는 사유가 아닌 것은?
(A) 중대한 질병
(B) 직계존비속의 사망
(C) 국제 대회 참가
(D) 개인 사정",(D)
"QUESTION19)조기 졸업을 위한 총 평균 성적 기준은?
(A) 2.50
(B) 3.00
(C) 3.50
(D) 3.75",(D)
"QUESTION20) 재학 연한 초과로 제적당하지 않는 경우는?
(A) 학사 편입
(B) 복수 전공 중
(C) 재입학 후 1년 이내
(D) 휴학 중",(D)
"QUESTION21) 졸업이 취소될 수 있는 상황은?
(A) 논문 미제출
(B) 부정한 방법으로 졸업 인정
(C) 성적 저조
(D) 졸업 요건 충족 못함",(B)
"QUESTION22) 교양과목을 제외한 전공과목의 분류는 무엇입니까?
(A) 필수/선택
(B) 정규/특별
(C) 일반/고급
(D) 학점 기준",(A)
"QUESTION23) 다음중 옳게 짝지어진 학위를 고르세요.
(A) 북한 학과 - 이학사
(B) 기업가정신 - 벤처학사
(C) 미술학사 - 한국음악
(D) 문학사 - 소비자학",(D)
"QUESTION24) 다음 중 이화여자대학교 학칙에서 학점과 관련해 옳은 것을 고르세요
(A) 교과과정이수 단위는 학기로 한다.
(B) 한 학기동안 10시간 이상 수업을 들으면 1학점을 준다.
(C) 학점취득특별시험의 방법은 총장과 위원회가 함께 정한다.
(D) 제35조는 1999년 2월에 개정되었다.",(D)
"QUESTION25) 2019학년도 입학 정원에 대한 내용으로 옳은 것을 고르시오.
(A) 휴먼기계바이오공학부 입학 정원과 무용과의 입학 정원의 합은 149명이다.
(B) 건반악기과의 입학정원은 164명이다.
(C) 수학교육과와 국어 교육과의 입학 정원은 각각 37명과 27명이다.
(D) 음악 대학의 학생수는 자연과학대학의 학생수보다 많다.",(B)
